Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,15,1,.938,23,7,.767,76.7,69.3,4.3,-1.7,Reg. Season Champion
2,Morehead State,10,6,.625,14,16,.467,79.0,77.0,-3.6,-1.8,
3,Jacksonville State,9,7,.563,20,15,.571,69.5,67.9,-2.8,-3.2,NCAA Tournament; Conf. Tournament Champion
4,Tennessee State,8,8,.500,17,13,.567,71.1,67.7,-1.6,-3.0,
4,Tennessee Tech,8,8,.500,12,20,.375,72.4,73.1,-7.6,-4.2,
6,Eastern Kentucky,5,11,.313,12,19,.387,70.9,75.2,-8.6,-2.4,
1,Tennessee-Martin,10,6,.625,22,13,.629,76.9,75.1,-4.7,-4.3,
2,Southeast Missouri State,9,7,.563,15,18,.455,74.5,74.7,-5.9,-4.3,
3,Murray State,8,8,.500,16,17,.485,80.0,77.1,-3.1,-4.4,
4,Austin Peay,7,9,.438,11,19,.367,77.7,83.8,-11.0,-2.3,
5,Eastern Illinois,6,10,.375,14,15,.483,74.8,71.8,-5.3,-5.1,
6,Southern Illinois-Edwardsville,1,15,.063,6,24,.200,68.1,76.1,-12.3,-3.3,
