Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,14,2,.875,26,7,.788,76.8,64.5,10.4,-1.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Eastern Kentucky,12,4,.750,25,10,.714,73.9,65.8,1.7,-3.9,
3,Tennessee State,11,5,.688,18,15,.545,71.5,69.9,-2.2,-1.3,
4,Jacksonville State,8,8,.500,17,11,.607,66.3,64.9,-4.5,-4.3,
4,Morehead State,8,8,.500,15,18,.455,72.6,73.0,-5.4,-1.8,
6,Tennessee Tech,5,11,.313,12,17,.414,64.8,67.3,-9.7,-3.3,
1,Murray State,10,6,.625,21,10,.677,72.8,66.8,1.2,-2.9,Reg. Season Champion
2,Southeast Missouri State,8,8,.500,17,16,.515,74.1,71.5,-5.5,-6.1,
3,Eastern Illinois,6,10,.375,11,21,.344,60.4,64.2,-8.9,-5.1,
4,Southern Illinois-Edwardsville,5,11,.313,9,18,.333,62.9,67.7,-11.2,-4.7,
4,Tennessee-Martin,5,11,.313,9,21,.300,66.9,76.5,-16.6,-4.2,
6,Austin Peay,4,12,.250,8,23,.258,71.5,76.5,-12.3,-4.3,
