Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Murray State,17,3,.850,24,7,.774,71.1,61.3,4.2,-5.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Samford,14,6,.700,20,11,.645,65.7,60.1,-1.9,-4.9,
3,Tennessee Tech,13,7,.650,19,12,.613,73.0,71.4,-5.5,-4.6,
4,Jacksonville State,12,8,.600,16,13,.552,76.6,75.6,-5.8,-5.8,
5,Eastern Kentucky,11,9,.550,14,16,.467,70.2,72.5,-8.8,-5.0,
6,Austin Peay,11,9,.550,17,14,.548,71.9,71.3,-5.7,-6.3,
7,Tennessee State,11,9,.550,13,15,.464,69.5,69.7,-5.9,-5.4,
8,Tennessee-Martin,9,11,.450,13,15,.464,72.9,73.8,-7.7,-5.1,
9,Eastern Illinois,5,15,.250,6,21,.222,59.2,67.9,-14.5,-5.8,
10,Southeast Missouri State,4,16,.200,7,20,.259,63.4,69.1,-14.2,-6.1,
11,Morehead State,3,17,.150,4,23,.148,62.2,75.0,-20.3,-5.4,
