Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Austin Peay,16,0,1.000,22,10,.688,65.6,60.5,1.4,-1.4,Reg. Season Champion
2,Murray State,14,2,.875,28,6,.824,80.3,68.9,7.2,-3.2,NCAA Tournament; Conf. Tournament Champion
3,Morehead State,10,6,.625,16,13,.552,75.2,74.6,-5.7,-2.9,
4,Eastern Kentucky,8,8,.500,14,15,.483,73.3,71.4,-5.8,-5.1,
5,Samford,7,9,.438,12,16,.429,65.6,65.3,-8.7,-2.6,
6,Jacksonville State,7,9,.438,14,14,.500,74.7,74.1,-8.4,-7.7,
7,Tennessee Tech,7,9,.438,13,15,.464,76.8,75.9,-6.2,-2.7,
8,Tennessee State,6,10,.375,7,21,.250,69.0,77.8,-11.4,-1.9,
9,Tennessee-Martin,5,11,.313,10,18,.357,72.8,76.4,-8.6,-2.7,
10,Southeast Missouri State,4,12,.250,11,16,.407,71.0,71.5,-5.5,-3.2,
10,Eastern Illinois,4,12,.250,6,21,.222,68.5,74.8,-11.1,-2.6,
