Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,11,5,.688,22,11,.667,74.2,70.6,0.4,-2.8,NCAA Tournament; Conf. Tournament Champion
1,Eastern Kentucky,11,5,.688,21,12,.636,71.9,63.6,0.0,-4.2,
3,Morehead State,10,6,.625,17,17,.500,71.2,66.3,-0.7,-3.3,
4,Jacksonville State,5,11,.313,12,19,.387,62.5,68.6,-12.7,-4.5,
5,Tennessee Tech,4,12,.250,12,18,.400,70.6,69.8,-6.5,-4.0,
6,Tennessee State,2,14,.125,5,26,.161,57.8,68.1,-14.9,-2.4,
1,Murray State,16,0,1.000,29,6,.829,79.0,67.6,7.1,-2.8,Reg. Season Champion
2,Tennessee-Martin,10,6,.625,21,13,.618,70.3,65.4,-2.1,-3.9,
3,Eastern Illinois,9,7,.563,18,15,.545,63.5,64.7,-5.5,-2.4,
4,Southern Illinois-Edwardsville,8,8,.500,12,16,.429,68.2,67.3,-7.3,-4.5,
5,Southeast Missouri State,7,9,.438,13,17,.433,69.6,68.8,-5.2,-3.7,
6,Austin Peay,3,13,.188,8,22,.267,64.6,72.6,-12.5,-2.8,
