Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Tennessee State,15,5,.750,23,9,.719,80.5,73.3,-4.5,-8.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Morehead State,15,5,.750,20,13,.606,75.3,74.7,-11.1,-7.6,Reg. Season Champion
3,Southeast Missouri State,14,6,.700,20,13,.606,74.5,70.6,-6.9,-7.8,
4,Tennessee-Martin,13,7,.650,22,11,.667,69.8,63.2,-5.9,-9.1,
5,Southern Illinois-Edwardsville,12,8,.600,19,13,.594,71.0,64.7,-8.5,-10.2,
6,Lindenwood,11,9,.550,18,15,.545,77.8,72.7,-9.1,-8.4,
7,Little Rock,9,11,.450,12,20,.375,70.5,74.1,-13.0,-7.7,
8,Tennessee Tech,8,12,.400,13,18,.419,73.3,74.5,-13.2,-7.9,
8,Eastern Illinois,8,12,.400,13,20,.394,67.1,70.3,-13.5,-5.8,
10,Southern Indiana,4,16,.200,7,23,.233,68.7,73.7,-16.2,-9.0,
11,Western Illinois,1,19,.050,5,26,.161,64.9,76.8,-23.4,-8.2,
