Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,14,2,.875,26,10,.722,79.9,73.9,3.3,-1.9,Reg. Season Champion
2,Eastern Kentucky,11,5,.688,24,10,.706,78.7,70.9,0.6,-4.3,NCAA Tournament; Conf. Tournament Champion
3,Morehead State,10,6,.625,20,14,.588,76.6,73.0,-1.9,-3.1,
4,Tennessee Tech,9,7,.563,17,16,.515,72.0,72.0,-8.1,-4.6,
5,Jacksonville State,4,12,.250,10,21,.323,65.0,70.2,-12.0,-5.1,
5,Tennessee State,4,12,.250,5,25,.167,68.7,75.5,-9.8,-2.0,
1,Murray State,13,3,.813,23,11,.676,77.9,71.9,1.0,-3.6,Reg. Season Champion
2,Southeast Missouri State,8,8,.500,18,14,.563,82.9,78.6,-5.5,-6.6,
3,Eastern Illinois,7,9,.438,11,19,.367,67.7,73.5,-11.5,-4.2,
3,Southern Illinois-Edwardsville,7,9,.438,11,20,.355,73.0,76.3,-10.6,-5.3,
5,Austin Peay,6,10,.375,12,18,.400,76.2,78.9,-10.5,-5.8,
6,Tennessee-Martin,3,13,.188,8,23,.258,74.3,81.5,-13.4,-4.8,
