Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Tennessee-Martin,14,4,.778,22,10,.688,78.8,70.1,0.1,-4.9,Reg. Season Champion
2,Austin Peay,13,5,.722,19,14,.576,75.3,74.2,-4.2,-3.7,
3,Murray State,13,5,.722,19,12,.613,68.4,63.2,-0.1,-3.9,
4,Morehead State,12,6,.667,20,16,.556,69.8,67.0,-3.1,-3.6,NCAA Tournament; Conf. Tournament Champion
5,Eastern Kentucky,10,8,.556,18,13,.581,72.5,66.5,-2.8,-5.4,
6,Tennessee State,9,9,.500,12,18,.400,72.8,78.4,-10.8,-4.5,
7,Eastern Illinois,8,10,.444,12,18,.400,64.5,66.1,-9.2,-5.5,
8,Tennessee Tech,6,12,.333,12,18,.400,73.6,73.0,-6.6,-4.7,
9,Jacksonville State,5,13,.278,11,17,.393,70.1,70.8,-8.2,-4.8,
10,Southeast Missouri State,0,18,.000,3,27,.100,67.8,80.5,-18.7,-3.8,
11,Southern Illinois-Edwardsville-nm,0,0,,10,20,.333,70.5,76.4,,,
