Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Austin Peay,16,4,.800,24,11,.686,74.0,70.8,-2.2,-5.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Murray State,13,7,.650,18,13,.581,73.0,69.1,-4.4,-7.0,
3,Morehead State,12,8,.600,15,15,.500,64.8,67.6,-11.3,-6.3,
4,Tennessee-Martin,11,9,.550,17,16,.515,77.6,77.3,-8.2,-6.4,
5,Samford,10,10,.500,14,16,.467,59.7,61.8,-12.0,-7.2,
6,Tennessee State,10,10,.500,15,17,.469,75.1,75.6,-7.0,-5.7,
7,Tennessee Tech,10,10,.500,13,19,.406,75.3,74.7,-7.9,-6.9,
8,Eastern Kentucky,10,10,.500,14,16,.467,63.0,64.4,-9.7,-6.3,
9,Eastern Illinois,6,14,.300,7,22,.241,63.2,69.0,-14.7,-8.0,
10,Jacksonville State,5,15,.250,7,22,.241,72.3,77.6,-15.3,-8.6,
11,Southeast Missouri State,7,13,.350,12,19,.387,76.6,82.2,-13.8,-7.0,*Overall W-L adjusted to 1-19
