Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Lehigh,10,4,.714,20,11,.645,67.2,63.7,-7.3,-8.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,American,10,4,.714,18,13,.581,67.5,65.0,-4.6,-7.0,Reg. Season Champion
3,Lafayette,9,5,.643,18,10,.643,75.6,72.7,-5.2,-6.4,
4,Bucknell,9,5,.643,14,15,.483,64.9,60.7,-4.2,-6.7,
5,Holy Cross,7,7,.500,13,15,.464,63.1,58.6,-1.8,-6.7,
6,Colgate,6,8,.429,15,14,.517,67.9,68.5,-10.8,-7.6,
7,Army,3,11,.214,6,21,.222,50.5,63.3,-22.8,-7.7,
8,Navy,2,12,.143,5,23,.179,56.3,70.6,-21.7,-5.0,
