Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,American,13,5,.722,22,13,.629,68.7,67.7,-7.6,-6.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Bucknell,13,5,.722,18,15,.545,74.0,73.2,-5.3,-6.2,Reg. Season Champion
3,Army,10,8,.556,17,16,.515,73.2,74.9,-12.1,-7.3,
3,Boston University,10,8,.556,16,16,.500,67.1,68.5,-11.0,-8.4,
3,Navy,10,8,.556,15,19,.441,70.8,70.4,-9.9,-8.8,
3,Colgate,10,8,.556,14,19,.424,72.1,72.4,-7.7,-6.4,
7,Lafayette,7,11,.389,13,20,.394,68.5,68.9,-10.2,-8.3,
8,Loyola (MD),6,12,.333,12,19,.387,69.2,71.1,-11.9,-8.5,
8,Lehigh,6,12,.333,11,19,.367,70.3,71.4,-10.3,-6.7,
10,Holy Cross,5,13,.278,13,19,.406,69.6,72.1,-12.5,-7.4,
