Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Bucknell,13,5,.722,19,15,.559,68.8,69.0,-3.7,-2.7,Reg. Season Champion
2,Colgate,12,6,.667,16,17,.485,66.0,64.4,-2.9,-3.4,
3,Lehigh,10,8,.556,16,14,.533,68.1,66.7,-3.0,-3.6,
4,Lafayette,9,9,.500,20,13,.606,73.5,73.0,-3.4,-3.1,NCAA Tournament; Conf. Tournament Champion
4,Boston University,9,9,.500,13,17,.433,67.9,69.6,-5.6,-3.1,
6,American,8,10,.444,17,16,.515,58.7,58.6,-3.6,-3.7,
6,Holy Cross,8,10,.444,14,16,.467,66.0,67.3,-6.2,-3.8,
6,Navy,8,10,.444,13,19,.406,61.0,64.3,-7.9,-3.6,
9,Loyola (MD),7,11,.389,11,19,.367,58.8,66.2,-10.7,-3.4,
10,Army,6,12,.333,15,15,.500,72.1,72.1,-6.5,-5.0,
