Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Navy,17,1,.944,26,7,.788,74.7,63.8,-0.9,-9.9,Reg. Season Champion
2,Colgate,11,7,.611,18,15,.545,76.4,74.6,-6.0,-5.4,
2,Lehigh,11,7,.611,18,16,.529,73.2,74.0,-9.3,-7.0,NCAA Tournament; Conf. Tournament Champion
4,Boston University,10,8,.556,17,17,.500,75.5,73.9,-8.1,-8.2,
5,American,9,9,.500,16,16,.500,74.6,71.3,-6.9,-6.2,
6,Loyola (MD),8,10,.444,12,20,.375,75.2,77.1,-13.3,-8.5,
6,Lafayette,8,10,.444,11,21,.344,69.4,74.4,-12.8,-6.6,
8,Bucknell,6,12,.333,10,23,.303,67.4,76.3,-14.4,-5.4,
9,Army,5,13,.278,11,21,.344,72.2,77.2,-15.3,-7.1,
9,Holy Cross,5,13,.278,11,22,.333,68.2,73.3,-13.7,-6.8,
