Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Fairleigh Dickinson,12,6,.667,21,14,.600,74.9,71.9,-6.1,-7.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Saint Francis (PA),12,6,.667,18,15,.545,76.3,76.1,-8.7,-6.2,Reg. Season Champion
3,Robert Morris,11,7,.611,18,17,.514,69.9,68.7,-9.4,-7.6,
3,Sacred Heart,11,7,.611,15,17,.469,79.9,78.4,-7.9,-8.1,
5,St. Francis (NY),9,9,.500,17,16,.515,71.1,70.3,-10.2,-8.4,
5,Long Island University,9,9,.500,16,16,.500,74.2,73.0,-9.0,-9.1,
7,Wagner,8,10,.444,13,17,.433,65.8,68.1,-13.0,-7.6,
8,Bryant,7,11,.389,10,20,.333,69.6,77.1,-15.2,-7.7,
9,Mount St. Mary's,6,12,.333,9,22,.290,67.5,73.7,-14.6,-6.0,
10,Central Connecticut State,5,13,.278,11,20,.355,71.1,76.4,-14.0,-6.7,
