Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Wagner,14,4,.778,23,10,.697,74.2,68.4,-3.2,-6.9,Reg. Season Champion
2,Saint Francis (PA),12,6,.667,18,13,.581,79.0,76.0,-6.1,-6.7,
2,Mount St. Mary's,12,6,.667,18,14,.563,72.8,71.9,-8.2,-8.1,
4,Long Island University,10,8,.556,18,17,.514,77.0,76.4,-8.6,-8.2,NCAA Tournament; Conf. Tournament Champion
4,St. Francis (NY),10,8,.556,13,18,.419,72.9,76.0,-12.2,-7.3,
6,Robert Morris,9,9,.500,16,17,.485,68.8,70.7,-8.0,-6.1,
6,Fairleigh Dickinson,9,9,.500,13,18,.419,74.6,75.8,-10.4,-5.7,
8,Central Connecticut State,7,11,.389,14,18,.438,67.8,71.9,-11.6,-7.6,
9,Sacred Heart,5,13,.278,10,21,.323,68.7,72.2,-11.4,-7.0,
10,Bryant,2,16,.111,3,28,.097,70.0,83.3,-18.8,-5.4,
