Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Fairleigh Dickinson,14,4,.778,20,12,.625,74.3,70.8,-3.2,-5.3,Reg. Season Champion
2,Central Connecticut State,13,5,.722,18,11,.621,72.5,67.9,-2.1,-6.8,
3,Monmouth,12,6,.667,19,15,.559,64.4,63.4,-3.0,-4.1,NCAA Tournament; Conf. Tournament Champion
4,Mount St. Mary's,11,7,.611,13,17,.433,64.6,66.5,-7.4,-5.6,
5,Robert Morris,10,8,.556,15,14,.517,73.7,71.6,-8.0,-6.3,
6,Long Island University,9,9,.500,12,16,.429,69.0,71.5,-10.4,-6.7,
7,Sacred Heart,8,10,.444,11,17,.393,66.2,67.9,-7.7,-6.0,
8,Quinnipiac,7,11,.389,12,16,.429,73.5,74.0,-8.1,-5.8,
9,St. Francis (NY),7,11,.389,10,17,.370,63.7,67.1,-8.4,-5.1,
10,Wagner,6,12,.333,13,14,.481,67.1,66.6,-7.4,-6.3,
11,Saint Francis (PA),2,16,.111,4,24,.143,60.0,70.4,-16.6,-5.1,
