Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Western Kentucky,15,3,.833,25,9,.735,72.2,67.0,3.7,-1.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Troy,14,4,.778,19,13,.594,78.1,77.2,-3.6,-4.2,
3,Middle Tennessee,10,8,.556,18,14,.563,70.4,66.1,-1.3,-2.8,
4,South Alabama,10,8,.556,20,13,.606,69.7,66.8,-2.6,-3.8,
5,Florida International,7,11,.389,13,20,.394,62.8,67.9,-7.7,-1.5,
6,Florida Atlantic,2,16,.111,6,26,.188,65.0,72.5,-9.7,-2.1,
1,Little Rock,15,3,.833,23,8,.742,66.4,63.4,-0.7,-3.7,Reg. Season Champion
2,North Texas,11,7,.611,20,12,.625,77.3,74.7,-1.1,-2.8,
3,Denver,9,9,.500,15,16,.484,60.8,60.4,-4.6,-5.0,
4,Louisiana,7,11,.389,10,20,.333,66.6,70.5,-6.3,-2.2,
5,Louisiana-Monroe,6,12,.333,10,20,.333,65.4,71.8,-11.8,-3.2,
6,New Orleans,6,12,.333,11,19,.367,62.1,66.7,-9.8,-4.1,
7,Arkansas State,5,13,.278,13,17,.433,66.5,64.9,-5.4,-4.3,
