Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Georgia State,13,5,.722,24,10,.706,76.4,73.3,2.4,0.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Texas State,12,6,.667,24,10,.706,72.6,64.8,1.5,-3.0,
2,Georgia Southern,12,6,.667,21,12,.636,82.6,75.4,3.7,0.1,
2,Texas-Arlington,12,6,.667,17,16,.515,69.2,69.8,-0.5,0.8,
5,Louisiana,10,8,.556,19,13,.594,81.6,80.5,-2.1,-1.5,
6,Louisiana-Monroe,9,9,.500,19,16,.543,79.2,75.3,0.8,-2.0,
6,Coastal Carolina,9,9,.500,17,17,.500,77.7,74.1,-0.5,-1.9,
8,South Alabama,8,10,.444,17,17,.500,72.9,72.5,-4.5,-2.7,
9,Arkansas State,7,11,.389,13,19,.406,73.7,77.3,-7.1,-1.2,
10,Appalachian State,6,12,.333,11,21,.344,79.9,79.3,-3.7,0.1,
11,Troy,5,13,.278,12,18,.400,72.6,74.7,-6.1,-1.0,
11,Little Rock,5,13,.278,10,21,.323,74.2,75.9,-4.9,-2.1,
