Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Texas-Arlington,14,4,.778,27,9,.750,78.3,69.9,5.9,-0.9,Reg. Season Champion
2,Georgia State,12,6,.667,20,13,.606,74.0,70.1,-0.3,-2.2,
3,Arkansas State,11,7,.611,20,12,.625,73.3,69.1,0.9,-2.1,
3,Texas State,11,7,.611,22,14,.611,66.9,62.7,-2.2,-4.3,
3,Georgia Southern,11,7,.611,18,15,.545,75.5,73.3,-3.6,-2.8,
6,Louisiana,10,8,.556,21,12,.636,81.9,76.3,-0.6,-3.3,
6,Troy,10,8,.556,22,15,.595,78.1,72.1,-0.5,-3.4,NCAA Tournament; Conf. Tournament Champion
6,Coastal Carolina,10,8,.556,20,19,.513,72.6,73.3,-3.9,-1.5,
9,South Alabama,7,11,.389,14,18,.438,71.4,72.6,-6.6,-2.9,
10,Little Rock,6,12,.333,15,17,.469,68.4,68.3,-6.1,-3.8,
11,Appalachian State,4,14,.222,9,21,.300,73.6,76.0,-8.7,-1.6,
12,Louisiana-Monroe,2,16,.111,9,24,.273,66.6,69.7,-7.9,-2.6,
