Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Western Kentucky,12,2,.857,23,8,.742,77.7,71.6,5.4,-0.4,Reg. Season Champion
2,Middle Tennessee,8,6,.571,16,12,.571,70.6,69.3,-1.7,-1.2,
3,Arkansas State,7,7,.500,12,18,.400,73.0,75.3,-5.5,-1.4,*Overall W-L adjusted to 0-18
4,Little Rock,5,9,.357,14,15,.483,64.2,65.5,-4.7,-3.1,
5,Florida International,4,10,.286,8,20,.286,61.7,69.3,-9.5,-0.1,*Overall W-L adjusted to 1-20
1,South Alabama,12,3,.800,24,7,.774,73.6,65.6,4.9,-2.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Louisiana,7,8,.467,13,16,.448,66.8,68.7,-1.3,0.6,
3,Denver,7,8,.467,16,15,.516,66.5,66.0,-1.2,-1.4,
4,New Orleans,6,9,.400,10,19,.345,65.9,70.3,-6.4,0.2,
5,North Texas,6,9,.400,14,14,.500,76.6,74.2,-4.1,-1.9,
6,Troy,6,9,.400,14,15,.483,74.7,70.3,-2.2,-3.1,
