Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Florida Atlantic,13,3,.813,21,11,.656,68.5,66.8,-2.4,-2.6,Reg. Season Champion
2,Middle Tennessee,10,6,.625,16,16,.500,69.3,66.3,-2.7,-4.4,
3,Western Kentucky,8,8,.500,16,16,.500,70.1,70.7,-3.8,-3.1,
4,South Alabama,6,10,.375,12,16,.429,70.3,72.9,-9.8,-4.3,
4,Troy,6,10,.375,8,21,.276,71.6,77.3,-9.5,-2.1,
6,Florida International,5,11,.313,11,19,.367,71.7,75.4,-9.3,-4.2,
1,Arkansas State,11,5,.688,17,15,.531,68.4,64.6,-3.4,-3.3,Reg. Season Champion
1,Louisiana,11,5,.688,14,15,.483,70.9,71.3,-5.4,-4.2,Reg. Season Champion
3,Denver,9,7,.563,13,17,.433,60.0,60.6,-4.0,-3.5,
4,North Texas,8,8,.500,22,11,.667,76.2,71.5,-1.5,-5.1,
5,Little Rock,7,9,.438,19,17,.528,68.3,67.4,-4.3,-3.0,NCAA Tournament; Conf. Tournament Champion
6,Louisiana-Monroe,2,14,.125,7,24,.226,60.0,68.6,-14.3,-4.0,
