Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,South Alabama,13,5,.722,20,12,.625,71.3,67.3,-2.0,-4.2,Reg. Season Champion
2,Western Kentucky,12,6,.667,22,11,.667,78.2,72.3,1.0,-3.7,
3,Florida Atlantic,10,8,.556,16,15,.516,74.9,78.0,-10.2,-4.3,
4,Troy,8,10,.444,13,17,.433,74.1,75.9,-8.4,-5.2,
5,Middle Tennessee,8,10,.444,15,17,.469,62.3,63.8,-5.9,-4.0,
6,Florida International,7,11,.389,12,17,.414,66.2,71.6,-13.0,-5.8,
1,Arkansas State,11,7,.611,18,15,.545,72.5,72.0,-6.5,-5.6,Reg. Season Champion; *Overall W-L adjusted to 0-15
2,Louisiana-Monroe,11,7,.611,18,14,.563,72.0,72.4,-9.6,-6.0,Reg. Season Champion
3,North Texas,10,8,.556,23,11,.676,77.0,71.2,-3.1,-6.6,NCAA Tournament; Conf. Tournament Champion
4,New Orleans,9,9,.500,14,17,.452,73.2,74.6,-7.9,-5.6,
5,Little Rock,8,10,.444,13,17,.433,66.0,69.2,-9.9,-5.6,
6,Louisiana,7,11,.389,9,21,.300,67.1,72.7,-10.9,-4.8,
7,Denver,3,15,.167,4,25,.138,64.0,75.7,-18.2,-5.9,
