Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Troy,13,5,.722,20,13,.606,74.8,72.1,-3.0,-2.3,Reg. Season Champion
2,Middle Tennessee,13,5,.722,19,14,.576,69.2,64.7,-2.0,-3.3,Reg. Season Champion
3,Western Kentucky,12,6,.667,21,13,.618,71.2,66.7,2.3,-2.2,
4,Florida Atlantic,10,8,.556,14,16,.467,73.4,73.5,-4.5,-3.3,
5,South Alabama,8,10,.444,17,15,.531,66.4,68.0,-7.7,-3.8,
6,Florida International,4,14,.222,7,25,.219,68.0,77.2,-12.8,-2.7,
1,North Texas,13,5,.722,24,9,.727,73.8,69.8,-2.5,-4.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Arkansas State,11,7,.611,17,14,.548,69.7,66.6,-4.0,-4.4,
3,Denver,10,8,.556,19,13,.594,65.0,62.9,-2.8,-4.9,
4,Louisiana,10,8,.556,13,17,.433,68.1,67.5,-4.7,-4.7,
5,Louisiana-Monroe,6,12,.333,12,19,.387,68.0,71.7,-10.7,-5.3,
6,Little Rock,4,14,.222,8,22,.267,67.6,73.1,-10.1,-2.2,
7,New Orleans,3,15,.167,8,22,.267,59.3,66.2,-13.5,-4.5,
