Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Southern Mississippi,14,4,.778,25,8,.758,73.8,66.1,3.3,-1.6,Reg. Season Champion
2,Louisiana,13,5,.722,26,8,.765,77.4,69.5,4.3,-0.5,NCAA Tournament; Conf. Tournament Champion
2,Marshall,13,5,.722,24,8,.750,81.8,71.3,7.1,-2.8,
4,James Madison,12,6,.667,22,11,.667,80.5,68.1,5.0,-2.3,
5,Old Dominion,11,7,.611,19,12,.613,66.9,66.2,-0.4,-0.6,
5,Troy,11,7,.611,20,13,.606,73.2,66.8,1.4,-1.2,
7,South Alabama,9,9,.500,19,16,.543,70.9,65.2,3.6,-0.5,
7,Georgia Southern,9,9,.500,17,16,.515,68.4,66.7,-3.2,-2.0,
7,Appalachian State,9,9,.500,16,16,.500,70.3,64.6,-1.5,-1.0,
10,Louisiana-Monroe,7,11,.389,11,21,.344,67.4,69.8,-8.6,-0.6,
11,Texas State,6,12,.333,16,19,.457,66.0,66.7,-2.3,-0.7,
12,Coastal Carolina,5,13,.278,11,20,.355,73.3,74.0,-8.9,-1.8,
13,Arkansas State,4,14,.222,13,20,.394,65.7,67.6,-8.1,-3.3,
14,Georgia State,3,15,.167,10,21,.323,66.7,69.4,-6.8,-0.9,
