Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Middle Tennessee,19,1,.950,28,6,.824,70.7,58.1,11.2,-1.5,NCAA Tournament; Reg. Season Champion
2,South Alabama,14,6,.700,17,13,.567,68.7,68.0,-2.9,-3.0,
3,Florida International,11,9,.550,18,14,.563,69.1,69.0,-2.1,-2.1,
4,Western Kentucky,10,10,.500,20,16,.556,66.9,65.7,-0.7,-1.1,NCAA Tournament; Conf. Tournament Champion
5,Florida Atlantic,9,11,.450,14,18,.438,65.4,67.6,-5.9,-2.5,
6,Troy,6,14,.300,12,21,.364,62.0,66.8,-8.8,-4.0,
1,Arkansas State,12,8,.600,19,12,.613,68.6,62.7,0.8,-4.4,Reg. Season Champion
2,Little Rock,11,9,.550,17,15,.531,66.5,66.6,-4.4,-2.2,
3,Louisiana,8,12,.400,13,20,.394,70.8,73.1,-4.9,-2.2,
4,North Texas,7,13,.350,12,20,.375,66.2,68.8,-6.4,-2.7,
5,Louisiana-Monroe,3,17,.150,4,23,.148,60.0,72.6,-14.0,-1.4,
