Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Western Kentucky,14,2,.875,24,7,.774,74.3,60.9,8.7,-1.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Arkansas State,10,6,.625,17,13,.567,73.0,72.3,-4.2,-2.8,
3,Louisiana Tech,10,6,.625,17,12,.586,68.3,64.4,-1.2,-3.9,
4,Little Rock,9,7,.563,18,11,.621,70.9,63.8,-0.8,-3.6,
5,Florida International,5,11,.313,8,21,.276,59.6,67.1,-9.2,-0.7,
6,Middle Tennessee,1,15,.063,5,22,.185,66.3,74.5,-12.0,-2.1,
1,South Alabama,11,5,.688,22,11,.667,68.5,64.6,1.8,-0.9,Reg. Season Champion
2,Louisiana,10,6,.625,16,13,.552,76.8,74.5,0.6,-0.5,
3,New Orleans,10,6,.625,17,12,.586,69.4,65.1,-1.9,-3.8,
4,New Mexico State,10,6,.625,14,14,.500,74.3,68.8,1.2,-2.6,
5,Denver,5,11,.313,10,18,.357,67.4,70.6,-7.3,-1.3,
6,North Texas,1,15,.063,4,24,.143,72.0,88.3,-17.4,1.8,
