Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Louisiana,16,2,.889,27,7,.794,83.2,70.8,7.6,-2.5,Reg. Season Champion
2,Georgia State,12,6,.667,24,11,.686,74.7,67.3,3.2,-2.8,NCAA Tournament; Conf. Tournament Champion
3,Georgia Southern,11,7,.611,21,12,.636,75.9,70.2,-0.5,-3.3,
4,Texas-Arlington,10,8,.556,21,13,.618,77.6,73.5,2.2,-1.4,
5,Louisiana-Monroe,9,9,.500,16,16,.500,69.8,68.3,-6.3,-3.3,
5,Troy,9,9,.500,16,17,.485,75.0,73.0,-1.5,-2.1,
5,Appalachian State,9,9,.500,15,18,.455,76.4,74.2,-4.8,-2.6,
8,Coastal Carolina,8,10,.444,14,18,.438,71.8,70.0,-3.9,-2.4,
9,Texas State,7,11,.389,15,18,.455,66.4,65.8,-5.8,-3.4,
9,South Alabama,7,11,.389,14,18,.438,69.6,69.3,-5.4,-2.9,
11,Arkansas State,6,12,.333,11,21,.344,74.0,78.8,-9.6,-3.0,
12,Little Rock,4,14,.222,7,25,.219,63.7,70.1,-10.4,-2.2,
