Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,South Alabama,16,2,.889,26,7,.788,75.1,65.4,7.8,-1.2,NCAA Tournament; Reg. Season Champion
2,Western Kentucky,16,2,.889,29,7,.806,77.4,66.8,9.3,0.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Middle Tennessee,11,7,.611,17,15,.531,68.1,69.3,-2.8,-0.2,
4,Florida Atlantic,8,10,.444,15,18,.455,71.7,74.1,-5.6,-2.4,
5,Florida International,6,12,.333,9,20,.310,64.0,69.8,-7.1,0.2,
6,Troy,4,14,.222,12,19,.387,76.3,80.5,-7.0,-2.0,
1,Little Rock,11,7,.611,20,11,.645,65.3,61.9,-3.3,-4.3,Reg. Season Champion
2,Louisiana,11,7,.611,15,15,.500,65.0,65.8,-3.7,-2.1,Reg. Season Champion
3,North Texas,10,8,.556,20,11,.645,76.9,70.5,1.5,-2.7,
4,New Orleans,8,10,.444,19,13,.594,73.5,71.5,-3.1,-3.6,
5,Denver,7,11,.389,11,19,.367,56.6,60.4,-6.1,-2.2,
6,Arkansas State,5,13,.278,10,20,.333,70.6,72.8,-7.7,-2.0,
7,Louisiana-Monroe,4,14,.222,10,21,.323,68.0,72.4,-8.3,-0.4,
