Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Western Kentucky,12,2,.857,24,9,.727,73.6,66.5,7.7,1.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Middle Tennessee,9,5,.643,16,14,.533,68.4,67.7,1.0,0.9,
3,Little Rock,8,6,.571,18,12,.600,70.8,70.4,-0.9,-0.9,
4,Arkansas State,6,8,.429,13,15,.464,74.0,68.5,-0.1,-1.4,
5,Florida International,1,13,.071,8,21,.276,60.5,64.4,-5.3,-0.2,*Overall W-L adjusted to 1-21
1,Louisiana,12,3,.800,20,10,.667,77.5,69.5,7.9,1.2,Reg. Season Champion
2,New Mexico State,9,6,.600,20,9,.690,73.7,67.4,4.7,-0.9,
3,South Alabama,7,8,.467,14,14,.500,73.0,71.4,0.5,2.2,
4,New Orleans,7,8,.467,15,14,.517,70.7,69.3,-0.2,0.3,
5,Denver,7,8,.467,17,15,.531,70.9,69.1,1.5,-0.3,
6,North Texas,2,13,.133,7,21,.250,70.2,77.8,-7.3,3.1,
