Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Little Rock,9,5,.643,17,12,.586,71.8,65.3,-1.0,-4.0,Reg. Season Champion
2,Western Kentucky,8,6,.571,15,13,.536,76.3,71.0,1.6,-0.1,
3,Middle Tennessee,8,6,.571,17,12,.586,70.1,66.6,-0.7,-1.7,
4,Arkansas State,7,7,.500,17,11,.607,74.2,69.9,-1.6,-4.4,
5,Florida International,1,13,.071,5,22,.185,56.1,68.2,-15.3,-1.5,*Overall W-L adjusted to 0-22
1,Louisiana,12,3,.800,20,9,.690,77.0,69.0,6.2,0.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; *Overall W-L adjusted to 6-8
2,New Orleans,9,6,.600,17,14,.548,69.7,70.8,-2.4,-0.5,
3,North Texas,8,7,.533,13,15,.464,72.5,73.0,-6.2,-2.9,
4,South Alabama,6,9,.400,12,16,.429,65.9,67.4,-4.4,-1.2,
5,Denver,6,9,.400,14,13,.519,69.5,69.6,-2.4,-1.7,
5,New Mexico State,6,9,.400,13,14,.481,66.1,65.7,-3.3,-1.6,
