Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Little Rock,10,4,.714,18,10,.643,67.5,66.8,-0.5,0.9,Reg. Season Champion
2,Western Kentucky,9,5,.643,22,9,.710,77.0,71.2,5.0,-0.5,
3,Middle Tennessee,7,7,.500,19,12,.613,71.4,65.4,2.3,-1.4,
4,Arkansas State,7,7,.500,16,13,.552,76.1,72.3,-1.2,-1.9,
5,Florida International,4,10,.286,13,17,.433,67.6,71.2,-3.9,0.3,*Overall W-L adjusted to 0-17
1,Denver,12,3,.800,20,11,.645,73.1,67.0,4.6,-0.4,Reg. Season Champion
2,Louisiana,11,4,.733,20,11,.645,72.2,68.0,5.7,1.9,NCAA Tournament; Conf. Tournament Champion; *Overall W-L adjusted to 3-10
3,New Orleans,7,8,.467,13,17,.433,66.7,69.3,-3.2,0.1,
4,South Alabama,6,9,.400,10,18,.357,62.3,66.0,-5.9,0.1,
5,North Texas,6,9,.400,14,14,.500,74.0,73.7,-4.3,-1.0,
6,New Mexico State,1,14,.067,6,24,.200,67.5,75.5,-9.1,0.7,
