Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Lipscomb,14,4,.778,25,10,.714,78.6,67.7,4.4,-4.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,North Alabama,14,4,.778,24,11,.686,78.7,70.6,1.0,-5.5,Reg. Season Champion
3,Florida Gulf Coast,13,5,.722,19,15,.559,72.2,69.7,-2.9,-4.9,
4,Jacksonville,12,6,.667,19,14,.576,72.1,71.5,-4.3,-3.8,
4,Eastern Kentucky,12,6,.667,18,14,.563,77.8,75.3,-3.9,-4.5,
6,Queens (NC),11,7,.611,20,15,.571,76.7,74.6,-5.4,-5.0,
7,North Florida,8,10,.444,15,17,.469,82.8,84.8,-8.5,-3.7,
7,Austin Peay,8,10,.444,14,19,.424,71.6,74.9,-9.6,-3.9,
9,Stetson,6,12,.333,8,24,.250,71.7,81.5,-16.7,-4.7,
10,Central Arkansas,4,14,.222,9,24,.273,70.2,78.1,-15.2,-4.3,
10,West Georgia,4,14,.222,6,25,.194,69.0,78.3,-15.6,-4.5,
12,Bellarmine,2,16,.111,5,26,.161,72.6,80.1,-15.3,-4.9,
