Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Troy,18,2,.900,24,7,.774,84.6,72.7,4.6,-5.7,Reg. Season Champion
2,Central Florida,17,3,.850,25,6,.806,70.4,61.8,1.9,-5.9,NCAA Tournament; Conf. Tournament Champion
3,Belmont,15,5,.750,21,9,.700,72.4,64.9,1.7,-4.7,
4,Georgia State,14,6,.700,20,9,.690,74.8,68.4,0.0,-5.0,
5,Stetson,10,10,.500,12,15,.444,68.0,72.5,-10.2,-3.9,
6,Mercer,9,11,.450,12,18,.400,71.8,76.4,-8.5,-3.1,
7,Jacksonville,8,12,.400,13,15,.464,71.0,73.9,-12.1,-6.6,
8,Florida Atlantic,6,14,.300,9,19,.321,77.0,76.9,-7.2,-5.7,
8,Gardner-Webb,6,14,.300,9,20,.310,67.7,73.2,-11.4,-4.0,
10,Lipscomb,4,16,.200,7,21,.250,69.5,77.5,-15.2,-4.5,
11,Campbell,3,17,.150,3,24,.111,68.8,85.5,-21.2,-4.5,
