Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,19,1,.950,30,5,.857,79.7,62.2,13.1,-4.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,East Tennessee State,16,4,.800,24,12,.667,69.9,64.4,2.1,-2.1,
3,Jacksonville,13,7,.650,20,12,.625,68.0,65.4,-1.4,-3.7,
4,Lipscomb,12,8,.600,17,13,.567,76.2,73.8,-1.0,-2.6,
5,Mercer,11,9,.550,15,18,.455,67.3,68.4,-4.1,-2.2,
6,North Florida,10,10,.500,15,19,.441,64.9,71.5,-6.3,0.3,
7,Florida Gulf Coast,7,13,.350,10,20,.333,65.7,72.8,-10.3,-3.1,
8,Campbell,6,14,.300,12,19,.387,65.5,67.5,-6.7,-4.3,
8,Kennesaw State,6,14,.300,8,23,.258,65.1,74.8,-14.1,-3.3,
8,Stetson,6,14,.300,8,23,.258,64.1,71.9,-10.7,-2.9,
11,South Carolina Upstate,4,16,.200,5,25,.167,58.2,69.7,-12.4,-0.9,
