Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,16,2,.889,27,8,.771,80.9,67.5,11.8,-1.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Mercer,13,5,.722,27,11,.711,68.1,62.8,3.7,-1.4,
2,South Carolina Upstate,13,5,.722,21,13,.618,71.4,68.3,-0.2,-1.6,
4,East Tennessee State,10,8,.556,17,14,.548,67.7,65.1,-0.4,-1.8,
4,North Florida,10,8,.556,16,16,.500,67.8,70.8,-3.4,0.0,
6,Florida Gulf Coast,8,10,.444,15,17,.469,72.1,72.1,-2.4,-2.0,
6,Lipscomb,8,10,.444,13,18,.419,72.3,74.3,-4.7,-1.2,
8,Stetson,6,12,.333,9,20,.310,72.0,78.4,-7.5,-0.7,
8,Jacksonville,6,12,.333,8,22,.267,65.0,72.4,-7.3,0.1,
10,Kennesaw State,0,18,.000,3,28,.097,61.9,75.2,-15.0,-0.5,
