Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Liberty,15,3,.833,27,9,.750,74.7,60.9,8.4,-1.9,Reg. Season Champion
1,Kennesaw State,15,3,.833,26,9,.743,75.0,69.0,0.6,-2.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Eastern Kentucky,12,6,.667,23,14,.622,78.6,73.5,-1.5,-1.6,
3,Stetson,12,6,.667,17,14,.548,76.8,73.8,-2.8,-2.7,
5,Lipscomb,11,7,.611,20,13,.606,76.4,71.0,-2.0,-4.0,
6,North Alabama,10,8,.556,18,15,.545,74.1,74.3,-8.7,-4.0,
7,Bellarmine,9,9,.500,15,18,.455,66.3,67.2,-7.4,-1.4,
7,North Florida,9,9,.500,14,17,.452,76.2,77.6,-6.7,-2.5,
9,Queens (NC),7,11,.389,18,15,.545,77.7,74.6,-4.2,-4.3,
9,Florida Gulf Coast,7,11,.389,17,15,.531,71.3,69.4,-2.6,-3.1,
11,Jacksonville,6,12,.333,13,16,.448,63.3,62.6,-6.2,-2.5,
11,Jacksonville State,6,12,.333,13,18,.419,69.9,70.3,-6.7,-2.6,
13,Central Arkansas,4,14,.222,9,22,.290,72.9,81.5,-13.7,-3.1,
14,Austin Peay,3,15,.167,9,22,.290,66.7,72.3,-12.2,-2.6,
