Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Jacksonville,15,5,.750,18,14,.563,73.8,69.1,1.6,0.0,Reg. Season Champion
2,East Tennessee State,14,6,.700,23,11,.676,78.1,70.1,3.2,-1.9,NCAA Tournament; Conf. Tournament Champion
2,Belmont,14,6,.700,20,13,.606,76.6,70.7,0.4,-1.4,
4,Lipscomb,12,8,.600,17,14,.548,76.4,69.7,-2.6,-3.5,
5,Mercer,11,9,.550,17,15,.531,74.8,75.9,-7.1,0.1,
5,Campbell,11,9,.550,14,16,.467,72.1,71.8,-8.0,-3.4,
7,Stetson,9,11,.450,13,17,.433,66.3,68.6,-6.9,1.2,
8,South Carolina Upstate-nm,8,12,.400,9,21,.300,60.4,68.5,,,
9,Florida Gulf Coast-nm,7,13,.350,11,20,.355,65.2,71.5,,,
10,North Florida-nm,6,14,.300,8,22,.267,56.6,69.8,,,
11,Kennesaw State-nm,3,17,.150,7,22,.241,58.3,68.6,,,
